#,Nickname,Fighter's ID,Rank,LP,W/L,Matches,W/L,Matches,Character,DOJO,Last play,
1,미닛메이드,DelMonteOrange,GrandMaster,80541,67.40%,5877,70.60%,10518,CAMMY,Mental_Hospital,2018-10-13,●
2,장테,kortazang,GrandMaster,71107,71.21%,7430,70.38%,9768,ZANGIEF,Red_Pants,2018-10-13,●
3,치킨,IIDX_CHIKEN_PS4,GrandMaster,59009,65.59%,3601,65.02%,3885,MENAT,InSu-Dan,2018-10-12,●
4,오블맘,oblmom,GrandMaster,51536,69.97%,5161,70.60%,6728,GUILE,ssonicboom,2018-10-12,●
5,암핏,armpitplay,GrandMaster,50449,67.60%,28231,64.75%,41773,GOUKI,Mental_Hospital,2018-10-13,●
6,씨름맨,KR_WrestlingMan,GrandMaster,35273,65.78%,5088,63.16%,10271,R.MIKA,,2018-10-06,●
7,,information,GrandMaster,35243,65.55%,4854,59.22%,18474,DICTATOR,,2018-10-10,●
8,동동,MnR-DongDong2,GrandMaster,35028,63.63%,3885,64.39%,9401,IBUKI,,2018-10-06,●
9,린보찡,rinbo7-pc,Master,30033,63.74%,2016,67.57%,5967,GUILE,SilverTown,2018-10-12,●
10,콩티렉스,kongtrex,Master,30021,64.79%,2025,77.17%,20995,DICTATOR,,2018-10-13,●
11,효원이아빠,HyoWonDaddy,UltraDiamond,27542,47.83%,8682,49.93%,19629,GUILE,HyoWon,2018-10-13,●
12,캣메이어,CatMayor,UltraDiamond,25629,48.50%,10060,50.01%,11363,JURI,,2018-10-13,●
13,사복,Sybox85,UltraDiamond,25529,53.94%,2132,61.65%,4733,BOXER,,2018-10-13,●
14,우주괴수,ContaNaVi,UltraDiamond,25450,61.26%,1172,64.73%,2580,JURI,,2018-10-09,●
15,블루문,Azuremoon,UltraDiamond,25376,66.67%,747,67.84%,1387,CHUN-LI,,2018-10-08,●
16,사모예드,Samoyed,UltraDiamond,25364,62.58%,1069,65.66%,20604,CLAW,Only_Claw,2018-10-12,●
17,빈방,emptyroom,UltraDiamond,25018,58.26%,1452,55.85%,1916,CODY,GOD_NL,2018-10-13,●
18,갑니PR,GubniPR,SuperDiamond,24961,47.88%,7458,49.30%,10733,GOUKI,TeamDPS,2018-10-13,●
19,지옥불반도,JIOKBULBANDO_PS4,SuperDiamond,24708,52.35%,4516,52.40%,4842,BIRDIE,E-BODY,2018-10-13,●
20,다크화니,darkHwany,SuperDiamond,24560,45.74%,14958,45.81%,16377,RYU,Ryu-Nation,2018-10-08,●
21,라크노스,Raknos,SuperDiamond,21462,57.61%,795,53.10%,10068,R.MIKA,Raknos-Inn,2018-10-12,●
22,레드플라워,REDFLOWER,SuperDiamond,21448,44.41%,19501,44.31%,20743,KARIN,,2018-10-11,●
23,여우비,FoxRain-Pc,SuperDiamond,20138,49.82%,1977,53.96%,3273,JURI,,2018-09-18,●
24,쏭두,SSONGDOO_TV,SuperDiamond,20133,47.03%,2411,50.81%,3466,RYU,Shin_Syoryuken,2018-10-12,●
25,윤비게일,Scutum,SuperDiamond,20090,45.54%,2903,43.16%,14510,ABIGAIL,,2018-09-12,●
26,4달라,FourDollar,SuperDiamond,20083,55.78%,1047,59.48%,2379,SAGAT,GOMSTOWN,2018-10-13,●
27,아태,ATAEDIE,SuperDiamond,20033,52.44%,2151,49.22%,12667,BLANKA,Raknos-Inn,2018-10-12,●
28,킥밤,KickBomb,SuperDiamond,20028,50.38%,2086,47.92%,3923,CHUN-LI,SilverTown,2018-09-28,●
29,자드,KOR_ZARD,Diamond,19921,68.53%,572,74.42%,3276,GUILE,SPIRITZERO,2018-10-12,●
30,알마,almaloss,Diamond,19123,52.93%,2322,47.10%,7794,G,Raknos-Inn,2018-10-04,●
31,빨간탈포스,Rmaskforce_PS4,Diamond,18859,51.98%,1897,52.29%,2297,ZANGIEF,MalpAnga,2018-10-12,●
32,히즈미,esw310,Diamond,17759,46.74%,5926,47.81%,8796,URIEN,Braveman,2018-10-13,●
33,루팡,SalaryLupin,Diamond,17541,46.00%,4226,46.03%,6757,LAURA,NOKZODAN,2018-10-13,●
34,카톡,KaKaoTalk,Diamond,16905,53.30%,1743,56.01%,3392,CLAW,Only_Claw,2018-10-13,●
35,쓰랄,Thrall_77,Diamond,16036,45.20%,26868,44.28%,29401,NASH,Shin_Syoryuken,2018-10-13,●
36,잎,Cittadi,Diamond,15888,52.83%,1520,44.06%,6310,DICTATOR,,2018-10-10,●
37,,YunduUdonta,Diamond,15503,52.70%,2689,52.61%,3389,URIEN,Braveman,2018-10-13,●
38,압도,Dominant_PS4,Diamond,15044,65.28%,625,61.46%,3207,SAGAT,Braveman,2018-10-13,●
39,에드랑꼬,JaebumPark,Diamond,14083,64.67%,600,48.18%,2993,ED,Psycho-Snatcher,2018-10-06,●
40,티버레이크,Tiberlake,Diamond,14075,46.62%,2711,49.76%,8434,BOXER,Sakura,2018-10-13,●
41,민님,extremin,Diamond,14060,50.56%,10559,52.92%,21661,CAMMY,,2018-10-12,●
42,벨거,Baninrok,Diamond,14039,55.88%,1378,50.96%,3189,CODY,-Metro_City-,2018-10-11,●
43,코두리,DBsang-steam,UltraPlatinum,13897,52.85%,2212,42.42%,4734,FALKE,,2018-09-27,●
44,,GuardJung,UltraPlatinum,13322,48.83%,6008,44.65%,8135,NASH,Mental_Hospital,2018-10-02,●
45,마사,isamix,UltraPlatinum,12327,53.99%,1906,56.36%,2970,KEN,Sakura,2018-10-12,●
46,,kor_bbom,SuperPlatinum,11470,49.08%,7865,48.12%,18448,RYU,Ryu-Nation,2018-10-12,●
47,행인,Hang-In,SuperPlatinum,11320,40.37%,20496,40.77%,21554,RYU,,2018-10-13,●
48,젤리샵,JellyShoP,SuperPlatinum,10352,49.74%,2272,39.30%,8392,CAMMY,,2018-10-13,●
49,진수가,artheaven,SuperPlatinum,10251,52.40%,7185,52.02%,9177,KEN,TeamDPS,2018-10-11,●
50,악철,akchul,SuperPlatinum,10035,53.18%,1463,52.71%,1848,URIEN,Braveman,2018-10-07,●
51,테시스,Tecith,SuperPlatinum,10027,50.52%,2973,44.49%,5404,CAMMY,,2018-10-11,●
52,,Panzerdivision,SuperPlatinum,10007,56.48%,733,49.90%,9560,BIRDIE,Haki-Kyaku,2018-10-03,●
53,,EXTRAUSER,Platinum,9932,53.33%,1545,33.53%,5894,RYU,,2018-10-13,●
54,후비고,hubigo,Platinum,9404,54.91%,1293,51.29%,2484,GUILE,,2018-09-23,●
55,큐폿,q-port,Platinum,9217,53.59%,1491,50.51%,2847,NECALLI,,2018-09-27,●
56,고양이파,llllllll,Platinum,8838,48.23%,2254,48.32%,4971,CHUN-LI,Rindo-kan_Karate,2018-10-12,●
57,,3World,Platinum,8320,52.86%,1065,56.72%,1675,CHUN-LI,,2018-10-06,●
58,머쓸빠워,notpsycho,Platinum,8258,68.87%,302,47.78%,3489,ZANGIEF,,2018-10-12,●
59,사쿨,Sakul_Sakul,Platinum,7592,49.24%,2500,45.64%,7606,CAMMY,GOD_NL,2018-10-09,●
60,시테,LastOfAkiha,Platinum,7551,53.11%,996,50.13%,3786,KARIN,aomaDOJO,2018-10-13,●
61,윤권,yunkwon,UltraGold,7277,51.86%,1880,39.97%,10166,KEN,Mental_Hospital,2018-10-12,●
62,신형준,kimboram,UltraGold,6817,58.50%,506,60.53%,869,GUILE,,2018-09-19,●
63,알트키,ALT_KEY,UltraGold,6779,53.69%,868,45.94%,6315,GOUKI,GOD_NL,2018-10-13,●
64,아침,Hanna_KR,UltraGold,6551,50.34%,3129,45.40%,3839,RYU,Shin_Syoryuken,2018-10-10,●
65,아하!,Ohhoho,UltraGold,6537,59.31%,467,46.74%,9080,KARIN,ExKunai,2018-10-12,●
66,뉴비식스,Animal6,SuperGold,5960,74.14%,174,38.15%,15178,CHUN-LI,LOUNGE,2018-10-13,●
67,기파랑,sfktj-karin,SuperGold,5959,51.24%,964,51.12%,3224,KEN,,2018-09-01,●
68,제쿠,John-Wick,SuperGold,5952,49.28%,4570,48.70%,4996,ZEKU,,2018-10-13,●
69,나락가마,son01420309,SuperGold,5828,63.16%,285,53.68%,557,DHALSIM,,2018-10-07,●
70,하야센,hayasen,SuperGold,5657,51.61%,1893,45.08%,12577,RYU,Ryu-Nation,2018-10-13,●
71,신스퀘어,Sinsquare,SuperGold,5536,48.94%,5691,46.19%,7662,ALEX,French-fries,2018-10-13,●
72,헐랭이손,dhschenk,Gold,5387,49.71%,3583,50.18%,6188,RYU,Shin_Syoryuken,2018-10-13,●
73,우키조아,Justice84,Gold,5290,59.54%,393,58.42%,457,GOUKI,,2018-10-10,●
74,불곰,NopeinNogein,Gold,5273,52.66%,1164,39.33%,2413,GOUKI,Shin_Syoryuken,2018-10-13,●
75,앜하밭하,akavata,Gold,4738,49.44%,7039,42.02%,10249,LAURA,SPIRITZERO,2018-10-13,●
76,갓주홍,GODJUHONG,Gold,4219,51.34%,2536,43.86%,4273,RYU,,2018-10-11,●
77,록맨,RockmanHH,Gold,4060,51.13%,2163,46.29%,5103,KARIN,,2018-10-04,●
78,,thealto,Gold,4056,49.95%,3858,46.45%,4753,CODY,windog,2018-10-13,●
79,오렌지페코,pekoshin,Gold,4032,51.26%,1471,49.10%,5094,GUILE,PekoshinDojjo,2018-10-13,●
80,마그마,MagmaAxis,Gold,4018,50.15%,325,32.82%,2011,GUILE,,2018-09-27,●
81,귀욤,I_am_chobo,Gold,4003,81.82%,88,64.89%,7542,GUILE,,2018-10-12,●
82,망고,Xiller,SuperSilver,3439,51.56%,576,46.53%,821,R.MIKA,,2018-10-07,●
83,옴니버스,0mnibus,SuperSilver,3296,63.80%,163,57.95%,459,KARIN,SPIRITZERO,2018-10-11,●
84,에레스비,LSBSBLSB,SuperSilver,3286,52.56%,841,49.21%,1010,LAURA,Mental_Hospital,2018-10-12,●
85,도미,ImDomi,SuperSilver,3147,52.23%,1438,49.58%,1783,GOUKI,Married-MAN-CLUB,2018-10-13,●
86,엘렌가든,ellengarden,SuperSilver,3054,52.89%,554,44.39%,847,IBUKI,SilverTown,2018-10-13,●
87,노드,Hand_of_Nod,SuperSilver,3005,51.98%,479,41.45%,1549,G,,2018-10-10,●
88,,NaKwang,SuperSilver,3004,48.71%,349,43.96%,4631,ABIGAIL,MalpAnga,2018-10-13,●
89,쿠마,lee30111,Silver,2994,56.36%,330,53.14%,1961,ZANGIEF,Red_Pants,2018-10-12,●
90,,insanity_player,Silver,2784,51.09%,826,46.82%,2245,DICTATOR,LOUNGE,2018-10-13,●
91,골든망고,GOLDENMANGGO,Silver,2758,39.95%,2090,35.79%,2741,NECALLI,,2018-10-13,●
92,햄순,MARUNARAE,Silver,2475,47.42%,757,37.61%,1848,JURI,,2018-10-12,●
