Fighter's ID,2018-10-09,2018-10-11,2018-10-12,2018-10-13,2018-10-14,2018-10-15,2018-10-16
DelMonteOrange,10240,10350,10371,10461,10518,10627,10681
kortazang,9443,9539,9600,9742,9815,9881,9901
IIDX_CHIKEN_PS4,3760,3827,3852,3885,3885,3885,3905
oblmom,6728,6728,6728,6728,6728,,
armpitplay,41607,41733,41767,41773,41773,41785,41786
KR_WrestlingMan,10271,10271,10271,10271,10271,10271,10271
information,18421,18474,18474,18474,18474,18479,18479
MnR-DongDong2,9401,9401,9401,9401,9401,9401,9401
rinbo7-pc,5923,5936,5953,5967,5967,5982,6012
Sybox85,4653,4677,4701,4706,4733,4785,4785
ContaNaVi,2580,2580,2580,2580,2580,2580,2580
Azuremoon,1387,1387,1387,1387,1387,1387,1387
Samoyed,20541,20556,20580,20604,20604,20648,20662
emptyroom,1694,1756,1787,1862,2032,,
JIOKBULBANDO_PS4,4693,4693,4743,4842,4861,4933,4933
CatMayor,11240,11266,11284,11338,11363,11363,11396
darkHwany,16377,16377,16377,16377,16388,16400,16409
Raknos,9969,10041,10041,10068,10068,10142,10163
REDFLOWER,20582,20639,20743,20743,20743,20790,20790
SSONGDOO_TV,3315,3376,3402,3466,3487,3527,3560
FoxRain-Pc,3273,3273,3273,3273,3273,3273,3273
Scutum,14510,14510,14510,14510,14510,14510,14510
FourDollar,2325,2329,2379,2379,2379,2379,2379
KOR_ZARD,3230,3241,3265,3276,3276,3280,3280
KickBomb,3923,3923,3923,3923,3923,3940,3940
Rmaskforce_PS4,2272,2272,2281,2297,2333,2338,2338
almaloss,7794,7794,7794,7794,7794,7794,7794
ATAEDIE,12528,12575,12618,12667,12667,12761,12761
esw310,8658,8676,8720,8768,8820,8849,8849
SalaryLupin,6511,6586,6649,6685,6757,6825,6907
KaKaoTalk,3302,3302,3302,3364,3392,3392,3416
Thrall_77,29392,29392,29392,29401,29416,29427,29442
Cittadi,6270,6310,6310,6310,6310,6373,6388
Dominant_PS4,3114,3159,3173,3186,3207,3207,3207
extremin,21492,21570,21587,21661,21661,21689,21689
JaebumPark,2993,2993,2993,2993,2993,2993,2993
Tiberlake,8424,8424,8431,8434,8434,8434,8434
DBsang-steam,4734,4734,4734,4734,4734,4734,4734
Baninrok,3118,3177,3189,3189,3189,3217,3239
GuardJung,8135,8135,8135,8135,8135,8135,8135
isamix,2878,2922,2922,2970,2992,2992,2992
Hang-In,21404,21476,21506,21506,21560,21598,21636
kor_bbom,18396,18412,18430,18448,18448,18469,18486
JellyShoP,8289,8356,8356,8365,8396,8396,8396
artheaven,9063,9097,9177,9177,9177,9177,9177
akchul,1848,1848,1848,1848,1848,1848,1848
Tecith,5404,5404,5404,5404,5404,5425,5425
Panzerdivision,9560,9560,9560,9560,9560,9560,9560
hubigo,2484,2484,2484,2484,2484,2484,2484
q-port,2847,2847,2847,2847,2847,2847,2847
EXTRAUSER,5741,5789,5816,5894,5915,5935,5967
llllllll,4935,4961,4961,4971,4971,,
3World,1675,1675,1675,1675,1675,,
Sakul_Sakul,7568,7606,7606,7606,7630,7670,7687
LastOfAkiha,3663,3663,3737,3737,3819,3884,3884
yunkwon,10158,10158,10158,10166,10175,10175,10175
MCjintai_go,3383,3441,,,,,
kimboram,869,869,869,869,869,869,869
ALT_KEY,6210,6237,6276,6276,6315,,
John-Wick,4869,4888,4917,4991,5056,5084,5084
dhschenk,6029,6073,6073,6138,6216,6226,6243
