LastOfAkiha,SuperGold,5791,52.24%,KARIN,2018-08-12
AroniaChips,GrandMaster,40408,74.37%,GUILE,2018-08-10
kortazang,GrandMaster,48788,70.11%,ZANGIEF,2018-08-12
IIDX_CHIKEN_PS4,GrandMaster,44196,62.83%,MENAT,2018-08-12
CNCITY_ENERGY,GrandMaster,85192,68.05%,VEGA,2018-08-12
information,GrandMaster,35394,65.56%,SAGAT,2018-08-11
DelMonteOrange,GrandMaster,39194,60.08%,CAMMY,2018-08-10
KR_WrestlingMan,GrandMaster,35109,65.78%,R.MIKA,2018-07-20
realukyo,GrandMaster,35015,61.85%,SAGAT,2018-08-11
MnR-DongDong2,Master,33053,62.91%,IBUKI,2018-08-12
No_Mercy85,Master,30041,53.78%,M.BISON,2018-08-09
Neckeserr,UltraDiamond,25218,59.83%,ZANGIEF,2018-08-12
Azuremoon,UltraDiamond,25007,66.76%,CHUN-LI,2018-07-15
Samoyed,UltraDiamond,25364,62.58%,BALROG,2018-08-12
HyoWonDaddy,UltraDiamond,25504,47.30%,GUILE,2018-08-12
rinbo7-pc,UltraDiamond,28237,63.72%,GUILE,2018-08-12
CatMayor,UltraDiamond,25591,47.76%,JURI,2018-08-12
darkHwany,UltraDiamond,25596,45.45%,RYU,2018-08-12
Raknos,SuperDiamond,20686,57.74%,SAGAT,2018-08-10
GubniPR,SuperDiamond,23694,48.07%,GOUKI,2018-08-06
Scutum,SuperDiamond,20090,45.54%,CODY,2018-08-12
fantasy6,SuperDiamond,21014,44.82%,CAMMY,2018-08-12
sonic-V,SuperDiamond,24347,50.54%,CAMMY,2018-07-24
TlaTlaGo,UltraDiamond,25083,73.96%,CHUN-LI,2018-08-12
1st-BY,SuperDiamond,20750,48.52%,RYU,2018-08-09
REDFLOWER,SuperDiamond,21196,44.46%,KARIN,2018-08-12
SSONGDOO_TV,SuperDiamond,21090,57.77%,RYU,2018-08-12
KwonJoonHo,SuperDiamond,20235,53.20%,G,2018-08-12
Thrall_77,Diamond,19711,45.85%,NASH,2018-08-12
MnR-Voice,Diamond,14009,65.32%,KEN,2018-07-25
almaloss,Diamond,19123,52.93%,ZANGIEF,2018-08-09
FoxRain-Pc,Diamond,17040,50.14%,JURI,2018-08-08
