#,Nickname,Fighter's ID,Rank,LP,W/L,Matches,W/L,Matches,Character,DOJO,Last play,
1,미닛메이드,DelMonteOrange,GrandMaster,72516,66.62%,5542,70.22%,10094,CAMMY,Mental_Hospital,2018-10-06,●
2,장테,kortazang,GrandMaster,67352,71.06%,7080,70.33%,9335,ZANGIEF,Red_Pants,2018-10-06,●
3,치킨,IIDX_CHIKEN_PS4,GrandMaster,55160,65.01%,3478,64.49%,3760,MENAT,InSu-Dan,2018-10-06,●
4,암핏,armpitplay,GrandMaster,49998,67.59%,28088,64.70%,41488,GOUKI,Mental_Hospital,2018-10-06,●
5,아로니아,AroniaChips,GrandMaster,43250,74.59%,3109,76.63%,8805,GUILE,,2018-10-05,●
6,씨름맨,KR_WrestlingMan,GrandMaster,35273,65.78%,5088,63.16%,10271,R.MIKA,,2018-10-06,●
7,,information,GrandMaster,35243,65.55%,4854,59.24%,18421,DICTATOR,,2018-10-05,●
8,동동,MnR-DongDong2,GrandMaster,35028,63.63%,3885,64.39%,9401,IBUKI,,2018-10-06,●
9,,Neckeserr,Master,30740,59.93%,16127,58.72%,20978,ZANGIEF,dhojo2stronk,2018-10-06,●
10,린보찡,rinbo7-pc,UltraDiamond,29813,63.63%,2007,67.46%,5889,GUILE,,2018-10-06,●
11,효원이아빠,HyoWonDaddy,UltraDiamond,27302,47.81%,8678,49.95%,19527,GUILE,HyoWon,2018-10-06,●
12,사복,Sybox85,UltraDiamond,25529,53.94%,2132,61.58%,4646,ZEKU,,2018-10-06,●
13,우주괴수,ContaNaVi,UltraDiamond,25450,61.26%,1172,64.78%,2567,JURI,,2018-10-06,●
14,사모예드,Samoyed,UltraDiamond,25364,62.58%,1069,65.72%,20475,CLAW,Only_Claw,2018-10-06,●
15,블루문,Azuremoon,UltraDiamond,25266,66.62%,743,68.01%,1366,CHUN-LI,,2018-10-03,●
16,빈방,emptyroom,UltraDiamond,25250,59.60%,1287,57.13%,1691,CODY,GOD_NL,2018-10-06,●
17,지옥불반도,JIOKBULBANDO_PS4,UltraDiamond,25075,52.39%,4293,52.34%,4570,BIRDIE,E-BODY,2018-10-05,●
18,다크화니,darkHwany,UltraDiamond,25004,45.76%,14907,45.83%,16326,RYU,Ryu-Nation,2018-10-06,●
19,캣메이어,CatMayor,SuperDiamond,24660,48.38%,9937,49.93%,11240,JURI,,2018-10-05,●
20,라크노스,Raknos,SuperDiamond,21462,57.61%,795,53.08%,9941,JURI,Raknos-Inn,2018-10-05,●
21,레드플라워,REDFLOWER,SuperDiamond,21455,44.43%,19340,44.32%,20582,KARIN,,2018-10-05,●
22,쏭두,SSONGDOO_TV,SuperDiamond,20282,47.60%,2185,51.63%,3161,RYU,Shin_Syoryuken,2018-10-06,●
23,여우비,FoxRain-Pc,SuperDiamond,20138,49.82%,1977,53.96%,3273,JURI,,2018-09-18,●
24,자드,KOR_ZARD,SuperDiamond,20096,69.73%,555,75.27%,3186,R.MIKA,SPIRITZERO,2018-10-06,●
25,윤비게일,Scutum,SuperDiamond,20090,45.54%,2903,43.16%,14510,ABIGAIL,,2018-09-12,●
26,4달라,FourDollar,SuperDiamond,20083,55.78%,1047,58.76%,2231,SAGAT,GOMSTOWN,2018-10-06,●
27,킥밤,KickBomb,SuperDiamond,20028,50.38%,2086,47.92%,3923,CHUN-LI,SilverTown,2018-09-28,●
28,바이85,1st-BY,Diamond,19693,48.30%,3377,46.93%,3925,GUILE,,2018-10-04,●
29,빨간탈포스,Rmaskforce_PS4,Diamond,19234,52.24%,1872,52.51%,2272,ZANGIEF,MalpAnga,2018-10-05,●
30,알마,almaloss,Diamond,19123,52.93%,2322,47.10%,7794,G,Raknos-Inn,2018-10-04,●
31,히즈미,esw310,Diamond,18968,47.35%,5660,48.22%,8500,URIEN,Braveman,2018-10-05,●
32,루팡,SalaryLupin,Diamond,17434,46.77%,3958,46.51%,6487,LAURA,NOKZODAN,2018-10-05,●
33,아태,ATAEDIE,Diamond,17059,52.44%,2029,49.14%,12382,BLANKA,Raknos-Inn,2018-10-06,●
34,카톡,KaKaoTalk,Diamond,16667,54.15%,1664,56.55%,3215,CLAW,Only_Claw,2018-10-06,●
35,쓰랄,Thrall_77,Diamond,16038,45.22%,26821,44.30%,29334,NASH,Shin_Syoryuken,2018-10-06,●
36,잎,Cittadi,Diamond,15528,52.77%,1516,44.03%,6266,DICTATOR,,2018-10-04,●
37,압도,Dominant_PS4,Diamond,15044,65.28%,625,61.88%,3114,SAGAT,Braveman,2018-10-05,●
38,민님,extremin,Diamond,14091,50.57%,10556,52.76%,21492,CAMMY,,2018-10-02,●
39,에드랑꼬,JaebumPark,Diamond,14083,64.67%,600,48.18%,2993,ED,Psycho-Snatcher,2018-10-06,●
40,티버레이크,Tiberlake,Diamond,14075,46.62%,2711,49.74%,8424,BOXER,Sakura,2018-10-05,●
41,코두리,DBsang-steam,UltraPlatinum,13897,52.85%,2212,42.42%,4734,FALKE,,2018-09-27,●
42,,GuardJung,UltraPlatinum,13322,48.83%,6008,44.65%,8135,NASH,NIEGAWA,2018-10-02,●
43,벨거,Baninrok,UltraPlatinum,12031,56.07%,1252,50.74%,3051,CODY,-Metro_City-,2018-10-06,●
44,행인,Hang-In,SuperPlatinum,11932,40.24%,20232,40.64%,21290,RYU,,2018-10-06,●
45,마사,isamix,SuperPlatinum,11709,53.78%,1839,56.38%,2843,SAKURA,Sakura,2018-10-06,●
46,,kor_bbom,SuperPlatinum,10507,48.99%,7800,48.09%,18367,RYU,Ryu-Nation,2018-10-06,●
47,던지,ps4-throwNpull,SuperPlatinum,10398,54.93%,1196,53.00%,1300,ED,SilverTown,2018-09-17,●
48,진수가,artheaven,SuperPlatinum,10317,52.43%,7093,52.04%,9063,KEN,TeamDPS,2018-10-02,●
49,젤리샵,JellyShoP,SuperPlatinum,10227,49.69%,2268,39.36%,8246,CAMMY,,2018-09-25,●
50,악철,akchul,SuperPlatinum,10035,53.18%,1463,52.98%,1829,URIEN,Braveman,2018-10-06,●
51,테시스,Tecith,SuperPlatinum,10027,50.52%,2973,44.49%,5394,CAMMY,,2018-10-06,●
52,,SF5-JY,SuperPlatinum,10026,54.58%,1442,50.00%,5284,KEN,Married-MAN-CLUB,2018-10-05,●
53,,Panzerdivision,SuperPlatinum,10007,56.48%,733,49.90%,9560,BIRDIE,Haki-Kyaku,2018-10-03,●
54,후비고,hubigo,Platinum,9404,54.91%,1293,51.29%,2484,GUILE,,2018-09-23,●
55,큐폿,q-port,Platinum,9217,53.59%,1491,50.51%,2847,NECALLI,,2018-09-27,●
56,,EXTRAUSER,Platinum,8994,53.44%,1426,33.44%,5681,KEN,,2018-10-06,●
