#,Nickname,Fighter's ID,Rank,LP,W/L,Matches,W/L,Matches,Character,DOJO,Last play,
1,미닛메이드,DelMonteOrange,GrandMaster,75041,66.91%,5639,70.33%,10240,CAMMY,Mental_Hospital,2018-10-09,●
2,장테,kortazang,GrandMaster,67903,71.03%,7184,70.33%,9443,ZANGIEF,Red_Pants,2018-10-09,●
3,치킨,IIDX_CHIKEN_PS4,GrandMaster,55160,65.01%,3478,64.49%,3760,MENAT,InSu-Dan,2018-10-06,●
4,오블맘,oblmom,GrandMaster,51536,69.97%,5161,70.60%,6728,GUILE,ssonicboom,2018-10-06,●
5,암핏,armpitplay,GrandMaster,50573,67.59%,28174,64.72%,41607,RYU,Mental_Hospital,2018-10-09,●
6,씨름맨,KR_WrestlingMan,GrandMaster,35273,65.78%,5088,63.16%,10271,R.MIKA,,2018-10-06,●
7,,information,GrandMaster,35243,65.55%,4854,59.24%,18421,DICTATOR,,2018-10-05,●
8,동동,MnR-DongDong2,GrandMaster,35028,63.63%,3885,64.39%,9401,IBUKI,,2018-10-06,●
9,린보찡,rinbo7-pc,Master,30033,63.74%,2016,67.47%,5923,GUILE,,2018-10-08,●
10,사복,Sybox85,UltraDiamond,25529,53.94%,2132,61.53%,4653,ZEKU,,2018-10-08,●
11,우주괴수,ContaNaVi,UltraDiamond,25450,61.26%,1172,64.73%,2580,JURI,,2018-10-09,●
12,블루문,Azuremoon,UltraDiamond,25376,66.67%,747,67.84%,1387,CHUN-LI,,2018-10-08,●
13,사모예드,Samoyed,UltraDiamond,25364,62.58%,1069,65.71%,20541,CLAW,Only_Claw,2018-10-08,●
14,빈방,emptyroom,UltraDiamond,25360,59.66%,1289,57.20%,1694,G,GOD_NL,2018-10-07,●
15,지옥불반도,JIOKBULBANDO_PS4,SuperDiamond,24796,52.36%,4391,52.31%,4693,BIRDIE,E-BODY,2018-10-09,●
16,캣메이어,CatMayor,SuperDiamond,24660,48.38%,9937,49.93%,11240,JURI,,2018-10-05,●
17,다크화니,darkHwany,SuperDiamond,24560,45.74%,14958,45.81%,16377,RYU,Ryu-Nation,2018-10-08,●
18,라크노스,Raknos,SuperDiamond,21462,57.61%,795,53.11%,9969,R.MIKA,Raknos-Inn,2018-10-07,●
19,레드플라워,REDFLOWER,SuperDiamond,21455,44.43%,19340,44.32%,20582,KARIN,,2018-10-05,●
20,쏭두,SSONGDOO_TV,SuperDiamond,20654,47.41%,2297,51.34%,3315,RYU,Shin_Syoryuken,2018-10-09,●
21,여우비,FoxRain-Pc,SuperDiamond,20138,49.82%,1977,53.96%,3273,JURI,,2018-09-18,●
22,윤비게일,Scutum,SuperDiamond,20090,45.54%,2903,43.16%,14510,ABIGAIL,,2018-09-12,●
23,4달라,FourDollar,SuperDiamond,20083,55.78%,1047,59.05%,2325,SAGAT,GOMSTOWN,2018-10-09,●
24,자드,KOR_ZARD,SuperDiamond,20056,69.34%,561,74.71%,3230,GUILE,SPIRITZERO,2018-10-09,●
25,킥밤,KickBomb,SuperDiamond,20028,50.38%,2086,47.92%,3923,CHUN-LI,SilverTown,2018-09-28,●
